Search Parameters;Year;Month;Day;Location Name;Latitude;Longitude;Mag;population_touchee;accessibilite
;1961;1;16;JAPAN:  KASHIMA;36.0;141.9;;5000;0.7
;1961;1;16;JAPAN:  KASHIMA;36.2;141.9;;5000;0.7
;1961;2;4;INDIA;24.9;93.34;7.6;50000;0.3
;1961;2;12;RUSSIA:  KURIL ISLANDS;43.2;147.9;;5000;0.3
;1961;2;26;JAPAN:  MIYAZAKI;31.6;131.8;7.3;5000;0.6
;1961;3;7;KERMADEC ISLANDS;-28.3;-175.7;7.5;0;0.1
;1961;3;7;CHINA:  HUBEI PROVINCE;30.5;110.0;4.9;5000;0.6
;1961;3;16;INDONESIA:  FLORES:  ENDEH;-8.2;122.0;6.5;5000;0.4
;1961;3;24;ITALY:  SICILY;38.0;15.3;;10000;0.7
;1961;4;4;CALIFORNIA:  TERMINAL ISLAND;34.0;-118.0;;12000;0.85
;1961;4;13;CHINA: XINJIANG;39.8;77.7;6.8;12000;0.4
;1961;5;21;AUSTRALIA: NEW SOUTH WALES;-34.55;150.5;5.6;5000;0.8
;1961;5;23;TURKEY;36.693;28.594;6.4;12000;0.6
;1961;6;1;ETHIOPIA:  KARAKORE;10.466;39.717;6.2;5000;0.3
;1961;6;11;IRAN:  DEHKUYEH,KHANEH,LAR,SHAGHEB,NOKHRIZ,BIGHU;27.861;54.528;6.4;5000;0.4
;1961;6;11;CHINA:   YUNNAN PROVINCE;24.97;98.63;5.8;12000;0.4
;1961;6;12;VIETNAM: BAC GIANG, HAI DUONG;21.48;106.044;5.7;12000;0.6
;1961;6;16;COLOMBIA: NORTHEASTERN COLOMBIA;8.9;-73.4;6.5;5000;0.4
;1961;6;27;IRAN;33.5;49.4;;12000;0.4
;1961;6;27;CHINA:   YUNNAN PROVINCE;27.73;99.75;6.0;5000;0.4
;1961;7;18;JAPAN:  RYUKYU ISLANDS;29.6;131.8;;5000;0.6
;1961;7;23;VANUATU ISLANDS;-18.421;168.411;7.3;5000;0.3
;1961;8;1;SOLOMON ISLANDS;-9.849;160.614;6.4;5000;0.3
;1961;8;11;JAPAN:  SE. HOKKAIDO ISLAND;42.9;145.6;;5000;0.7
;1961;8;17;RUSSIA:  KURIL ISLANDS;46.338;149.548;6.7;500;0.3
;1961;8;19;JAPAN:  HONSHU:  W COAST;36.0;136.7;7.3;5000;0.7
;1961;8;31;PERU;-10.5;-70.7;7.5;5000;0.3
;1961;9;1;SOUTH SANDWICH ISLANDS;-59.5;-27.3;7.5;0;0.1
;1961;9;5;SOUTH SANDWICH ISLANDS;-58.0;-27.0;7.7;0;0.1
;1961;9;8;SOUTH SANDWICH ISLANDS;-56.26;-27.283;7.7;0;0.1
;1961;10;1;CHINA:  GANSU PROVINCE;34.33;104.78;5.7;12000;0.4
;1961;10;14;IRAN;33.6;48.1;;12000;0.4
;1961;10;18;CHILE:  VALDIVIA, CURICO;-36.7;-73.0;6.5;5000;0.6
